primary_genre,period,Sales
Action,1/1/1980,$487 
Action,1/1/1981,$250 
Action,1/1/1982,$393 
Action,1/1/1983,$254 
Action,1/1/1984,$732 
Action,1/1/1985,$665 
Action,1/1/1986,$688 
Action,1/1/1987,$796 
Action,1/1/1988,$576 
Action,1/1/1989,$653 
Action,1/1/1990,$1 
Action,1/1/1991,$1 
Action,1/1/1992,$794 
Action,1/1/1993,$1 
Action,1/1/1994,$1 
Action,1/1/1995,$2 
Action,1/1/1996,$3 
Action,1/1/1997,$2 
Action,1/1/1998,$2 
Action,1/1/1999,$1 
Action,1/1/2000,$2 
Action,1/1/2001,$2 
Action,1/1/2002,$2 
Action,1/1/2003,$2 
Action,1/1/2004,$3 
Action,1/1/2005,$2 
Action,1/1/2006,$2 
Action,1/1/2007,$2 
Action,1/1/2008,$3 
Action,1/1/2009,$6 
Action,1/1/2010,$4 
Action,1/1/2011,$5 
Action,1/1/2012,$6 
Action,1/1/2013,$8 
Action,1/1/2014,$7 
Action,1/1/2015,$12 
Action,1/1/2016,$10 
Adventure,1/1/1980,$585 
Adventure,1/1/1981,$795 
Adventure,1/1/1982,$79 
Adventure,1/1/1983,$965 
Adventure,1/1/1984,$539 
Adventure,1/1/1985,$753 
Adventure,1/1/1986,$495 
Adventure,1/1/1987,$205 
Adventure,1/1/1988,$473 
Adventure,1/1/1989,$1 
Adventure,1/1/1990,$995 
Adventure,1/1/1991,$742 
Adventure,1/1/1992,$647 
Adventure,1/1/1993,$1 
Adventure,1/1/1994,$225 
Adventure,1/1/1995,$1 
Adventure,1/1/1996,$631 
Adventure,1/1/1997,$1 
Adventure,1/1/1998,$1 
Adventure,1/1/1999,$2 
Adventure,1/1/2000,$1 
Adventure,1/1/2001,$3 
Adventure,1/1/2002,$3 
Adventure,1/1/2003,$4 
Adventure,1/1/2004,$3 
Adventure,1/1/2005,$3 
Adventure,1/1/2006,$3 
Adventure,1/1/2007,$4 
Adventure,1/1/2008,$4 
Adventure,1/1/2009,$3 
Adventure,1/1/2010,$3 
Adventure,1/1/2011,$3 
Adventure,1/1/2012,$3 
Adventure,1/1/2013,$3 
Adventure,1/1/2014,$2 
Adventure,1/1/2015,$2 
Adventure,1/1/2016,$5 
Animation,1/1/1980,$2 
Animation,1/1/1981,$6 
Animation,1/1/1982,$0 
Animation,1/1/1983,$12 
Animation,1/1/1984,$0 
Animation,1/1/1985,$22 
Animation,1/1/1986,$5 
Animation,1/1/1987,$3 
Animation,1/1/1988,$160 
Animation,1/1/1989,$240 
Animation,1/1/1990,$0 
Animation,1/1/1991,$0 
Animation,1/1/1992,$518 
Animation,1/1/1993,$15 
Animation,1/1/1994,$21 
Animation,1/1/1995,$377 
Animation,1/1/1996,$250 
Animation,1/1/1997,$416 
Animation,1/1/1998,$573 
Animation,1/1/1999,$900 
Animation,1/1/2000,$661 
Animation,1/1/2001,$861 
Animation,1/1/2002,$540 
Animation,1/1/2003,$1 
Animation,1/1/2004,$825 
Animation,1/1/2005,$645 
Animation,1/1/2006,$1 
Animation,1/1/2007,$1 
Animation,1/1/2008,$1 
Animation,1/1/2009,$2 
Animation,1/1/2010,$2 
Animation,1/1/2011,$3 
Animation,1/1/2012,$3 
Animation,1/1/2013,$4 
Animation,1/1/2014,$1 
Animation,1/1/2015,$1 
Animation,1/1/2016,$2 
character0,1/1/1980,$0 
character0,1/1/1981,$0 
character0,1/1/1982,$0 
character0,1/1/1983,$2 
character0,1/1/1984,$0 
character0,1/1/1985,$0 
character0,1/1/1986,$2 
character0,1/1/1987,$0 
character0,1/1/1988,$0 
character0,1/1/1989,$0 
character0,1/1/1990,$0 
character0,1/1/1991,$0 
character0,1/1/1992,$0 
character0,1/1/1993,$841 
character0,1/1/1994,$4 
character0,1/1/1995,$0 
